occ,occ1990dd,year
68,68,1990
69,69,1990
73,73,1990
74,74,1990
75,75,1990
76,76,1990
77,77,1990
78,78,1990
79,79,1990
83,83,1990
84,84,1990
85,85,1990
86,86,1990
87,87,1990
88,88,1990
89,89,1990
95,95,1990
96,96,1990
97,97,1990
98,98,1990
99,99,1990
103,103,1990
104,104,1990
105,105,1990
106,106,1990
113,154,1990
114,154,1990
115,154,1990
116,154,1990
117,154,1990
118,154,1990
119,154,1990
123,154,1990
124,154,1990
125,154,1990
126,154,1990
127,154,1990
128,154,1990
129,154,1990
133,154,1990
134,154,1990
135,154,1990
136,154,1990
137,154,1990
138,154,1990
139,154,1990
143,154,1990
144,154,1990
145,154,1990
146,154,1990
147,154,1990
148,154,1990
149,154,1990
153,154,1990
154,154,1990
155,155,1990
156,156,1990
157,157,1990
158,158,1990
159,159,1990
163,163,1990
164,164,1990
165,165,1990
166,166,1990
167,167,1990
168,169,1990
169,169,1990
173,173,1990
174,174,1990
175,466,1990
176,176,1990
177,176,1990
178,178,1990
179,178,1990
183,183,1990
184,184,1990
185,185,1990
186,186,1990
187,187,1990
188,188,1990
189,189,1990
193,193,1990
194,194,1990
195,195,1990
197,13,1990
198,198,1990
199,199,1990
203,203,1990
204,204,1990
205,205,1990
206,206,1990
207,207,1990
208,208,1990
213,214,1990
214,214,1990
215,214,1990
216,214,1990
217,217,1990
218,218,1990
223,223,1990
224,224,1990
225,225,1990
226,226,1990
227,227,1990
228,228,1990
229,229,1990
233,233,1990
234,234,1990
235,235,1990
243,243,1990
253,253,1990
254,254,1990
255,255,1990
256,256,1990
257,274,1990
258,258,1990
259,274,1990
263,275,1990
264,275,1990
265,275,1990
266,275,1990
267,275,1990
268,275,1990
269,275,1990
274,275,1990
275,275,1990
276,276,1990
277,277,1990
278,277,1990
283,283,1990
284,274,1990
285,274,1990
303,303,1990
304,308,1990
305,303,1990
306,348,1990
307,364,1990
308,308,1990
309,308,1990
313,313,1990
314,313,1990
315,315,1990
316,316,1990
317,317,1990
318,318,1990
319,319,1990
323,319,1990
325,336,1990
326,326,1990
327,326,1990
328,328,1990
329,329,1990
335,335,1990
336,336,1990
337,337,1990
338,338,1990
339,344,1990
343,344,1990
344,344,1990
345,347,1990
346,346,1990
347,347,1990
348,348,1990
353,349,1990
354,354,1990
355,355,1990
356,356,1990
357,357,1990
359,359,1990
363,373,1990
364,364,1990
365,365,1990
366,366,1990
368,368,1990
373,373,1990
374,389,1990
375,375,1990
376,376,1990
377,377,1990
378,378,1990
379,379,1990
383,383,1990
384,384,1990
385,385,1990
386,386,1990
387,387,1990
389,389,1990
403,408,1990
404,436,1990
405,405,1990
406,468,1990
407,405,1990
413,417,1990
414,418,1990
415,415,1990
416,417,1990
417,417,1990
418,418,1990
423,423,1990
424,423,1990
425,425,1990
426,426,1990
427,427,1990
433,433,1990
434,434,1990
435,435,1990
436,436,1990
438,444,1990
439,439,1990
443,444,1990
444,444,1990
445,445,1990
446,447,1990
447,447,1990
448,448,1990
449,405,1990
453,453,1990
454,469,1990
455,455,1990
456,470,1990
457,457,1990
458,458,1990
459,459,1990
461,461,1990
462,462,1990
463,471,1990
464,464,1990
